movie_id,movie_name,year,category_id,category_name,won
63,A Single Man ,2009,1,Actor -- Leading Role,0
64,Invictus ,2009,1,Actor -- Leading Role,0
64,Invictus ,2009,2,Actor -- Supporting Role,0
65,The Hurt Locker ,2009,1,Actor -- Leading Role,0
66,The Messenger ,2009,2,Actor -- Supporting Role,0
67,The Last Station ,2009,2,Actor -- Supporting Role,0
67,The Last Station ,2009,3,Actress -- Leading Role,0
68,The Lovely Bones ,2009,2,Actor -- Supporting Role,0
69,Inglourious Basterds ,2009,2,Actor -- Supporting Role,1
70,The Blind Side ,2009,3,Actress -- Leading Role,1
71,An Education ,2009,3,Actress -- Leading Role,0
72,Precious: Based on the Novel 'Push' by Sapphire ,2009,3,Actress -- Leading Role,0
72,Precious: Based on the Novel 'Push' by Sapphire ,2009,4,Actress -- Supporting Role,1
73,Julie & Julia ,2009,3,Actress -- Leading Role,0
74,Nine ,2009,4,Actress -- Supporting Role,0
75,Coraline,2009,5,Animated Feature Film,0
76,Fantastic Mr. Fox,2009,5,Animated Feature Film,0
76,Fantastic Mr. Fox,2009,14,Music (Scoring),0
77,The Princess and the Frog,2009,5,Animated Feature Film,0
77,The Princess and the Frog,2009,15,Music (Song),0
77,The Princess and the Frog,2009,15,Music (Song),0
78,The Secret of Kells,2009,5,Animated Feature Film,0
79,Up,2009,5,Animated Feature Film,1
79,Up,2009,14,Music (Scoring),1
79,Up,2009,16,Best Picture,0
79,Up,2009,20,Sound Editing,0
79,Up,2009,22,Writing,0
80,Avatar,2009,6,Art Direction,1
80,Avatar,2009,7,Cinematography,1
80,Avatar,2009,9,Directing,0
80,Avatar,2009,12,Film Editing,0
80,Avatar,2009,14,Music (Scoring),0
80,Avatar,2009,16,Best Picture,0
80,Avatar,2009,19,Sound,0
80,Avatar,2009,20,Sound Editing,0
80,Avatar,2009,21,Visual Effects,1
81,The Imaginarium of Doctor Parnassus,2009,6,Art Direction,0
81,The Imaginarium of Doctor Parnassus,2009,8,Costume Design,0
82,Nine,2009,6,Art Direction,0
82,Nine,2009,8,Costume Design,0
82,Nine,2009,15,Music (Song),0
83,Sherlock Holmes,2009,6,Art Direction,0
83,Sherlock Holmes,2009,14,Music (Scoring),0
84,The Young Victoria,2009,6,Art Direction,0
84,The Young Victoria,2009,8,Costume Design,1
84,The Young Victoria,2009,13,Makeup,0
