movie_id,category_id,nomination_number,won
158,12,1,0
158,16,1,1
158,19,1,0
158,20,1,0
158,22,1,1
159,2,1,0
160,2,1,0
160,12,1,0
161,3,1,0
161,8,1,1
162,3,1,0
162,22,1,0
163,3,1,1
163,8,1,0
163,13,1,1
164,3,1,0
164,22,1,0
165,3,1,0
165,9,1,0
165,16,1,0
165,22,1,1
166,4,1,0
167,4,1,0
167,6,1,0
168,4,1,0
168,6,1,0
168,7,1,0
168,8,1,0
168,14,1,1
168,16,1,0
168,22,1,0
169,4,1,0
170,5,1,0
171,5,1,1
171,14,1,0
171,19,1,0
171,20,1,0
171,22,1,0
172,5,1,0
173,6,1,0
173,21,1,1
174,7,1,0
174,9,1,0
174,12,1,0
174,22,1,0
175,8,1,0
176,10,1,0
177,10,1,0
178,10,1,0
179,10,1,1
180,10,1,0
181,11,1,1
182,11,1,0
183,11,1,0
184,11,1,0
185,12,1,1
185,19,1,1
185,20,1,1
186,13,1,0
187,13,1,0
187,21,1,0
188,14,1,0
189,14,1,0
189,19,1,0
190,15,1,1
191,15,1,0
191,15,2,0
191,15,3,0
192,15,1,0
193,17,1,0
194,17,1,0
195,17,1,0
196,17,1,0
197,17,1,1
198,18,1,0
199,18,1,0
200,18,1,1
201,18,1,0
202,18,1,0
203,19,1,0
203,20,1,0
203,21,1,0
204,22,1,0
205,1,1,0
205,2,1,0
205,12,1,0
205,19,1,0
205,20,1,0
206,1,1,0
207,1,1,0
208,1,1,0
209,1,1,1
210,2,1,1
210,4,1,0
210,16,1,0
210,22,1,1
211,2,1,0
211,3,1,0
211,22,1,0
212,2,1,0
212,4,1,1
212,6,1,0
212,8,1,0
212,15,1,0
212,15,2,0
212,15,3,0
212,19,1,1
213,2,1,0
213,9,1,1
213,12,1,1
213,16,1,1
213,22,1,1
214,3,1,0
215,3,1,0
215,4,1,0
215,14,1,0
215,22,1,0
216,3,1,1
216,8,1,0
216,9,1,0
216,14,1,0
216,16,1,0
216,22,1,0
217,3,1,0
217,8,1,0
218,4,1,0
218,4,2,0
218,9,1,0
218,12,1,0
218,14,1,1
